"name","description","zone"
"Point 1",NA,"no_effect_zone"
"Point 2",NA,"no_effect_zone"
"Point 3",NA,"alright_zone"
"Point 4",NA,"no_effect_zone"
"Point 5",NA,"no_effect_zone"
"Point 6",NA,"alright_zone"
"Point 7",NA,"no_effect_zone"
"Point 8",NA,"no_effect_zone"
"Point 9",NA,"no_effect_zone"
"Point 10",NA,"no_effect_zone"
"Point 11",NA,"no_effect_zone"
"Point 12",NA,"no_effect_zone"
"Point 13",NA,"no_effect_zone"
"Point 14",NA,"no_effect_zone"
"Point 15",NA,"no_effect_zone"
"Point 16",NA,"no_effect_zone"
"Point 17",NA,"no_effect_zone"
"Point 18",NA,"no_effect_zone"
"Point 19",NA,"no_effect_zone"
"Point 20",NA,"no_effect_zone"
"Point 21",NA,"no_effect_zone"
"Point 22",NA,"no_effect_zone"
"Point 23",NA,"alright_zone"
"Point 24",NA,"alright_zone"
"Point 25",NA,"no_effect_zone"
"Point 26",NA,"alright_zone"
"Point 27",NA,"alright_zone"
"Point 28",NA,"alright_zone"
"Point 29",NA,"critical_zone"
"Point 30",NA,"alright_zone"
"Point 31",NA,"alright_zone"
"Point 32",NA,"alright_zone"
"Point 33",NA,"alright_zone"
"Point 34",NA,"no_effect_zone"
"Point 35",NA,"no_effect_zone"
"Point 36",NA,"no_effect_zone"
"Point 37",NA,"no_effect_zone"
"Point 38",NA,"no_effect_zone"
"Point 39",NA,"no_effect_zone"
"Point 40",NA,"no_effect_zone"
"Point 41",NA,"no_effect_zone"
"Point 42",NA,"no_effect_zone"
"Point 43",NA,"no_effect_zone"
"Point 44",NA,"critical_zone"
"Point 45",NA,"alright_zone"
"Point 46",NA,"critical_zone"
"Point 47",NA,"alright_zone"
"Point 48",NA,"alright_zone"
"Point 49",NA,"alright_zone"
"Point 50",NA,"critical_zone"
"Point 51",NA,"alright_zone"
"Point 52",NA,"alright_zone"
"Point 53",NA,"no_effect_zone"
"Point 54",NA,"no_effect_zone"
"Point 55",NA,"no_effect_zone"
"Point 56",NA,"no_effect_zone"
"Point 57",NA,"no_effect_zone"
"Point 58",NA,"no_effect_zone"
"Point 59",NA,"no_effect_zone"
"Point 60",NA,"no_effect_zone"
"Point 61",NA,"no_effect_zone"
"Point 62",NA,"no_effect_zone"
"Point 63",NA,"no_effect_zone"
"Point 64",NA,"critical_zone"
"Point 65",NA,"no_effect_zone"
"Point 66",NA,"no_effect_zone"
"Point 67",NA,"alright_zone"
"Point 68",NA,"no_effect_zone"
"Point 69",NA,"no_effect_zone"
"Point 70",NA,"no_effect_zone"
"Point 71",NA,"no_effect_zone"
"Point 72",NA,"critical_zone"
"Point 73",NA,"alright_zone"
"Point 74",NA,"critical_zone"
"Point 75",NA,"critical_zone"
"Point 76",NA,"no_effect_zone"
"Point 77",NA,"no_effect_zone"
"Point 78",NA,"no_effect_zone"
"Point 79",NA,"alright_zone"
"Point 80",NA,"alright_zone"
"Point 81",NA,"critical_zone"
"Point 82",NA,"no_effect_zone"
"Point 83",NA,"no_effect_zone"
"Point 84",NA,"no_effect_zone"
"Point 85",NA,"no_effect_zone"
"Point 86",NA,"alright_zone"
"Point 87",NA,"no_effect_zone"
"Point 88",NA,"no_effect_zone"
"Point 89",NA,"no_effect_zone"
"Point 90",NA,"no_effect_zone"
"Point 91",NA,"no_effect_zone"
"Point 92",NA,"no_effect_zone"
